cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Paesanella Cherry Bocconcini,https://www.cheese.com/paesanella-cherry-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.50%,560.9 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,Cherry Bocconcini,,Paesanella Cheese Manufacturers
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",,Mozzarella,semi-soft,21.30%,508.9 mg/100g,smooth,,,nutty,"aromatic, floral, fruity",FALSE,FALSE,,,"Beemster Cheese, CONO Kaasmakers / Beemster"
Classics Fresh Mozzarella,https://www.cheese.com/classics-fresh-mozzarella/,cow,United States,Wisconsin,Mozzarella,"soft, brined",21.30%,509.7 mg/100g,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE,"perline, ciliegine, ovoline, marinated ciliegine",,Crave Brothers Farmstead Cheese
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,,Mozzarella,semi-soft,18.70%,521.0 mg/100g,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,Langres,,
Classics Fresh Mozzarella,https://www.cheese.com/classics-fresh-mozzarella/,cow,United States,Wisconsin,Mozzarella,"soft, brined",21.30%,509.7 mg/100g,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE,"perline, ciliegine, ovoline, marinated ciliegine",,Crave Brothers Farmstead Cheese
Paesanella Buffalo Mozzarella,https://www.cheese.com/paesanella-buffalo-mozzarella/,"buffalo, cow",Australia,New South Wales,Mozzarella,,19.40%,539.7 mg/100g,,rindless,white,,,TRUE,FALSE,Bufala Mozzarella,,Paesanella Cheese Manufacturers
Paesanella Buffalo Mozzarella,https://www.cheese.com/paesanella-buffalo-mozzarella/,"buffalo, cow",Australia,New South Wales,Mozzarella,,19.40%,539.7 mg/100g,,rindless,white,,,TRUE,FALSE,Bufala Mozzarella,,Paesanella Cheese Manufacturers
Meredith Chevre Plain,https://www.cheese.com/meredith-chevre-plain/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",20.70%,524.6 mg/100g,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,,,Meredith Dairy
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",,Mozzarella,semi-soft,21.30%,508.9 mg/100g,smooth,,,nutty,"aromatic, floral, fruity",FALSE,FALSE,,,"Beemster Cheese, CONO Kaasmakers / Beemster"
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Meredith Chevre Plain,https://www.cheese.com/meredith-chevre-plain/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",20.70%,524.6 mg/100g,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,,,Meredith Dairy
Meredith Chevre Plain,https://www.cheese.com/meredith-chevre-plain/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",20.70%,524.6 mg/100g,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,,,Meredith Dairy
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,,Mozzarella,semi-soft,18.70%,521.0 mg/100g,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,Langres,,
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",20.00%,521.2 mg/100g,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,,,
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",,Mozzarella,semi-soft,21.30%,508.9 mg/100g,smooth,,,nutty,"aromatic, floral, fruity",FALSE,FALSE,,,"Beemster Cheese, CONO Kaasmakers / Beemster"
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Meredith Chevre Plain,https://www.cheese.com/meredith-chevre-plain/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",20.70%,524.6 mg/100g,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,,,Meredith Dairy
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",20.00%,521.2 mg/100g,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,,,
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",,Mozzarella,semi-soft,21.30%,508.9 mg/100g,smooth,,,nutty,"aromatic, floral, fruity",FALSE,FALSE,,,"Beemster Cheese, CONO Kaasmakers / Beemster"
Amul Pizza Mozzarella Cheese,https://www.cheese.com/amul-pizza-mozzarella-cheese/,cow,India,Gujarat,Mozzarella,"semi-soft, processed",19.10%,580.5 mg/100g,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE,,,Gujarat Cooperative Milk Marketing Federation (Amul)
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",20.00%,521.2 mg/100g,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,,,
Paesanella Cherry Bocconcini,https://www.cheese.com/paesanella-cherry-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.50%,560.9 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,Cherry Bocconcini,,Paesanella Cheese Manufacturers
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Meredith Goat Cheese in Extra Virgin Olive Oil,https://www.cheese.com/meredith-goat-cheese-in-extra-virgin-olive-oil/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",21.30%,552.5 mg/100g,"creamy, soft",,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",,,,,Meredith Dairy
Amul Pizza Mozzarella Cheese,https://www.cheese.com/amul-pizza-mozzarella-cheese/,cow,India,Gujarat,Mozzarella,"semi-soft, processed",19.10%,580.5 mg/100g,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE,,,Gujarat Cooperative Milk Marketing Federation (Amul)
Paesanella Buffalo Mozzarella,https://www.cheese.com/paesanella-buffalo-mozzarella/,"buffalo, cow",Australia,New South Wales,Mozzarella,,19.40%,539.7 mg/100g,,rindless,white,,,TRUE,FALSE,Bufala Mozzarella,,Paesanella Cheese Manufacturers
Paesanella Buffalo Mozzarella,https://www.cheese.com/paesanella-buffalo-mozzarella/,"buffalo, cow",Australia,New South Wales,Mozzarella,,19.40%,539.7 mg/100g,,rindless,white,,,TRUE,FALSE,Bufala Mozzarella,,Paesanella Cheese Manufacturers
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,,Mozzarella,semi-soft,18.70%,521.0 mg/100g,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,Langres,,
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Classics Fresh Mozzarella,https://www.cheese.com/classics-fresh-mozzarella/,cow,United States,Wisconsin,Mozzarella,"soft, brined",21.30%,509.7 mg/100g,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE,"perline, ciliegine, ovoline, marinated ciliegine",,Crave Brothers Farmstead Cheese
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Meredith Goat Cheese in Extra Virgin Olive Oil,https://www.cheese.com/meredith-goat-cheese-in-extra-virgin-olive-oil/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",21.30%,552.5 mg/100g,"creamy, soft",,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",,,,,Meredith Dairy
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,,Mozzarella,semi-soft,18.70%,521.0 mg/100g,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,Langres,,
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",,Mozzarella,semi-soft,21.30%,508.9 mg/100g,smooth,,,nutty,"aromatic, floral, fruity",FALSE,FALSE,,,"Beemster Cheese, CONO Kaasmakers / Beemster"
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,,Mozzarella,semi-soft,18.70%,521.0 mg/100g,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,Langres,,
Classics Fresh Mozzarella,https://www.cheese.com/classics-fresh-mozzarella/,cow,United States,Wisconsin,Mozzarella,"soft, brined",21.30%,509.7 mg/100g,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE,"perline, ciliegine, ovoline, marinated ciliegine",,Crave Brothers Farmstead Cheese
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",,Mozzarella,semi-soft,21.30%,508.9 mg/100g,smooth,,,nutty,"aromatic, floral, fruity",FALSE,FALSE,,,"Beemster Cheese, CONO Kaasmakers / Beemster"
Meredith Goat Cheese in Extra Virgin Olive Oil,https://www.cheese.com/meredith-goat-cheese-in-extra-virgin-olive-oil/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",21.30%,552.5 mg/100g,"creamy, soft",,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",,,,,Meredith Dairy
Classics Fresh Mozzarella,https://www.cheese.com/classics-fresh-mozzarella/,cow,United States,Wisconsin,Mozzarella,"soft, brined",21.30%,509.7 mg/100g,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE,"perline, ciliegine, ovoline, marinated ciliegine",,Crave Brothers Farmstead Cheese
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Meredith Goat Cheese in Extra Virgin Olive Oil,https://www.cheese.com/meredith-goat-cheese-in-extra-virgin-olive-oil/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",21.30%,552.5 mg/100g,"creamy, soft",,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",,,,,Meredith Dairy
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Meredith Goat Cheese in Extra Virgin Olive Oil,https://www.cheese.com/meredith-goat-cheese-in-extra-virgin-olive-oil/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",21.30%,552.5 mg/100g,"creamy, soft",,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",,,,,Meredith Dairy
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Beemster 2% Milk,https://www.cheese.com/beemster-2-milk/,cow,"Canada, Denmark, France, Germany, Netherlands, United States",,Mozzarella,semi-soft,21.30%,508.9 mg/100g,smooth,,,nutty,"aromatic, floral, fruity",FALSE,FALSE,,,"Beemster Cheese, CONO Kaasmakers / Beemster"
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Classics Fresh Mozzarella,https://www.cheese.com/classics-fresh-mozzarella/,cow,United States,Wisconsin,Mozzarella,"soft, brined",21.30%,509.7 mg/100g,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE,"perline, ciliegine, ovoline, marinated ciliegine",,Crave Brothers Farmstead Cheese
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Paesanella Cherry Bocconcini,https://www.cheese.com/paesanella-cherry-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.50%,560.9 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,Cherry Bocconcini,,Paesanella Cheese Manufacturers
Meredith Chevre Plain,https://www.cheese.com/meredith-chevre-plain/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",20.70%,524.6 mg/100g,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,,,Meredith Dairy
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
Bassigny au porto,https://www.cheese.com/bassigny-au-porto/,cow,Belgium,,Mozzarella,semi-soft,18.70%,521.0 mg/100g,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,Langres,,
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Amul Pizza Mozzarella Cheese,https://www.cheese.com/amul-pizza-mozzarella-cheese/,cow,India,Gujarat,Mozzarella,"semi-soft, processed",19.10%,580.5 mg/100g,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE,,,Gujarat Cooperative Milk Marketing Federation (Amul)
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Meredith Chevre Plain,https://www.cheese.com/meredith-chevre-plain/,goat,Australia,Victoria,Mozzarella,"fresh soft, artisan",20.70%,524.6 mg/100g,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,,,Meredith Dairy
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",20.00%,521.2 mg/100g,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,,,
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",20.00%,521.2 mg/100g,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,,,
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",20.00%,521.2 mg/100g,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,,,
Paesanella Cherry Bocconcini,https://www.cheese.com/paesanella-cherry-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.50%,560.9 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,Cherry Bocconcini,,Paesanella Cheese Manufacturers
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Paesanella Burrata,https://www.cheese.com/paesanella-burrata/,cow,Australia,,Mozzarella,"fresh soft, artisan",18.90%,587.5 mg/100g,"creamy, soft",,white,"buttery, milky, smooth","fresh, milky, rich, sweet",,,,,Paesanella Cheese Manufacturers
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,,Mozzarella,"semi-soft, artisan",18.20%,576.6 mg/100g,soft,rindless,white,"lemony, tangy",strong,,,Aphrodite Artisan Goat Milk Halloumi,,
Paesanella Bocconcini,https://www.cheese.com/paesanella-bocconcin/,cow,Australia,,Mozzarella,semi-soft,20.20%,534.5 mg/100g,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE,,,Paesanella Cheese Manufacturers
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Beehive Fresh,https://www.cheese.com/beehive-fresh/,cow,United States,Utah,Mozzarella,"fresh soft, artisan",20.30%,589.8 mg/100g,"buttery, soft",,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE,,,Beehive Cheese Company
Shredded Bliss,https://www.cheese.com/shredded-bliss/,,"Canada, United States",,Mozzarella,semi-soft,20.30%,547.6 mg/100g,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE,"Lactose Free Mozzarella Shreds, Dairy Free Mozzarella Shreds, Lactose & Soy Free Mozzarella Shreds",,
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
Smoked Fior Di Latte,https://www.cheese.com/smoked-fior-di-latte/,cow,Italy,,Mozzarella,semi-soft,20.10%,506.2 mg/100g,"elastic, smooth",,brownish yellow,"smokey , tangy",smokey,,,,,
