cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",bloomy,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"firm, smooth",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,washed,blue,nutty,"aromatic, floral, fruity",FALSE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,buttery,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,washed,white,nutty,"aromatic, floral, fruity",FALSE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",FALSE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",washed,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",washed,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",FALSE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",mold ripened,white,"buttery, milky, smooth","fresh, milky, rich, sweet",TRUE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,TRUE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",TRUE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,natural,brownish yellow,nutty,"aromatic, floral, fruity",FALSE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",leaf wrapped,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",mold ripened,brownish yellow,"smokey , tangy",smokey,TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"creamy, smooth",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,FALSE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,TRUE,FALSE
Shredded Bliss,goat,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,FALSE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",leaf wrapped,white,"buttery, milky, smooth","fresh, milky, rich, sweet",TRUE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,FALSE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Shredded Bliss,"cow, sheep","Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",plastic,white,"buttery, milky, smooth","fresh, milky, rich, sweet",TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",FALSE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,natural,white,nutty,"aromatic, floral, fruity",FALSE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,FALSE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,rindless,ivory,nutty,"aromatic, floral, fruity",FALSE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",mold ripened,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",washed,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",FALSE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,TRUE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",edible,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",FALSE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",mold ripened,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",waxed,brownish yellow,"smokey , tangy",smokey,TRUE,FALSE
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"fresh firm, artisan",Medium,"creamy, stringy",rindless,white,"creamy, mild, salty",rich,TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"firm, smooth",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"open, smooth",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"buttery, soft",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"semi-soft, blue-veined",Medium,smooth,rindless,white,"buttery, nutty","buttery, spicy",TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,bloomy,pale yellow,nutty,"aromatic, floral, fruity",FALSE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",FALSE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",FALSE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",TRUE,FALSE
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,FALSE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Shredded Bliss,goat,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,natural,pale yellow,nutty,"aromatic, floral, fruity",FALSE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"dense, elastic, stringy",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"buttery, milky, smooth","fresh, milky, rich, sweet",TRUE,FALSE
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"semi-hard, artisan",Medium,"creamy, firm, open, smooth",rindless,white,"fruity, full-flavored, mild, sweet","fruity, mild, milky, nutty, rich, yeasty",TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"crumbly, firm",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,smooth,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,washed,white,nutty,"aromatic, floral, fruity",FALSE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",mold ripened,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"compact, dense",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,bloomy,ivory,nutty,"aromatic, floral, fruity",FALSE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",plastic,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"fresh soft, brined",Medium,"creamy, soft, spreadable",rindless,white,"caramel, nutty, sweet",fresh,TRUE,FALSE
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",washed,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",FALSE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,smooth,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,FALSE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",TRUE,FALSE
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,rindless,white,nutty,"aromatic, floral, fruity",FALSE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,TRUE,FALSE
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"fresh firm, artisan",Medium,crumbly,rindless,white,"milky, sharp, tangy","aromatic, herbal",TRUE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",rindless,pale yellow,"buttery, mild","buttery, fresh, mild",TRUE,FALSE
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",TRUE,FALSE
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,TRUE,FALSE
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"soft, brined",Medium,"creamy, runny",rindless,white,"mild, nutty, sweet",mild,TRUE,FALSE
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"creamy, smooth, soft, springy",washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE
